parcel,bedrooms,bathrooms,living_area,total_value,half_baths,purchase_date,construction_quality,condition_score,garage_type,finished_basement,total_land,zipcodes,house_age,Inflation_Adj_Cost1,Inflation_Adj_Cost2
71203012,4,1,1561,113400,1,1950,C+ / AVERAGE+,AVERAGE,DETACHED,No,9250.0,44124,70,124260.00000000001,0.0
71203014,3,1,1232,103600,1,1947,C+ / AVERAGE+,AVERAGE,DETACHED,No,8500.0,44124,73,0.0,0.0
71203016,3,1,1436,109600,1,1950,C+ / AVERAGE+,GOOD,ATTACHED,No,8500.0,44124,70,154494.85,222400.00000000003
71203018,3,1,1577,113100,1,1951,C+ / AVERAGE+,FAIR,ATTACHED,No,8500.0,44124,69,83430.0,0.0
71203020,2,1,920,94500,0,1941,C / AVERAGE,AVERAGE,DETACHED,No,8500.0,44124,79,153550.0,0.0
71203022,3,2,1628,114200,0,1941,C+ / AVERAGE+,AVERAGE,DETACHED,No,8500.0,44124,79,0.0,0.0
71203024,4,1,1569,111000,1,1949,C+ / AVERAGE+,AVERAGE,ATTACHED,No,8500.0,44124,71,117660.0,0.0
71203026,3,1,1439,109200,1,1949,C+ / AVERAGE+,AVERAGE,ATTACHED,No,8500.0,44124,71,0.0,0.0
71203028,3,1,1540,112400,1,1929,C+ / AVERAGE+,AVERAGE,NONE,,8500.0,44124,91,138775.0,0.0
71203030,3,1,1418,109000,0,1951,C+ / AVERAGE+,AVERAGE,DETACHED,No,8500.0,44124,69,143808.0,0.0
71203032,3,1,1430,109600,0,1950,C+ / AVERAGE+,AVERAGE,ATTACHED,No,8500.0,44124,70,174915.0,155750.0
71203034,4,1,1870,120300,0,1950,C+ / AVERAGE+,AVERAGE,ATTACHED,No,8500.0,44124,70,192560.0,153520.0
71203036,4,1,1268,100100,1,1947,C+ / AVERAGE+,AVERAGE,ATTACHED,No,8500.0,44124,73,131240.0,136400.0
71203038,2,1,1338,107000,0,1953,C+ / AVERAGE+,AVERAGE,DETACHED,,8500.0,44124,67,120554.00000000001,94615.0
71203040,4,2,2087,124900,1,1949,C / AVERAGE,AVERAGE,ATTACHED,No,8500.0,44124,71,0.0,0.0
71203042,5,2,2060,123600,1,1927,C+ / AVERAGE+,FAIR,DETACHED,No,8500.0,44124,93,136857.0,146880.0
71203044,3,1,1474,110300,0,1931,C+ / AVERAGE+,AVERAGE,DETACHED,No,8500.0,44124,89,205900.0,160000.0
71203046,2,1,1086,99600,0,1950,C+ / AVERAGE+,AVERAGE,ATTACHED,No,8500.0,44124,70,122000.0,214269.0
71203048,3,1,1340,107200,0,1951,C+ / AVERAGE+,AVERAGE,DETACHED,No,8500.0,44124,69,104000.0,95334.2
71203050,3,2,2168,182000,0,1969,B / GOOD,AVERAGE,ATTACHED,No,15375.0,44124,51,289680.0,0.0
71203052,4,2,2280,203500,1,1971,B / GOOD,GOOD,ATTACHED,No,15450.0,44124,49,216910.00000000003,169400.0
71203054,2,1,1067,91400,0,1952,C+ / AVERAGE+,AVERAGE,DETACHED,No,9400.0,44124,68,0.0,0.0
71203056,3,1,1601,114600,0,1953,C+ / AVERAGE+,AVERAGE,DETACHED,No,9400.0,44124,67,233450.0,0.0
71203060,4,2,1338,107700,0,1931,C+ / AVERAGE+,AVERAGE,DETACHED,,9400.0,44124,89,0.0,196175.0
71203062,3,1,1465,111000,1,1942,C+ / AVERAGE+,AVERAGE,ATTACHED,No,9400.0,44124,78,129265.0,201550.00000000003
71203064,2,1,1456,110100,1,1930,B / GOOD,AVERAGE,DETACHED,No,9450.0,44124,90,139150.0,165100.0
71203066,4,1,1404,110000,0,1952,C+ / AVERAGE+,AVERAGE,DETACHED,No,9450.0,44124,68,162260.0,0.0
71203068,4,1,1566,141700,0,1940,C+ / AVERAGE+,AVERAGE,ATTACHED,No,18144.0,44124,80,188100.00000000003,0.0
71203070,3,2,2196,177800,0,1968,B / GOOD,AVERAGE,ATTACHED,No,12600.0,44124,52,254999.99999999997,0.0
71203072,4,2,2622,194100,1,1973,B / GOOD,AVERAGE,ATTACHED,No,15939.0,44124,47,228355.00000000003,0.0
71203074,3,2,1864,174500,0,1969,B / GOOD,AVERAGE,ATTACHED,No,15300.0,44124,51,269660.0,0.0
71204002,6,2,3205,189100,1,1947,B / GOOD,GOOD,DETACHED,,24450.0,44124,73,366360.0,296700.0
71204004,4,2,1887,131300,1,1940,B / GOOD,GOOD,ATTACHED,No,75489.0,44124,80,130200.0,0.0
71204008,4,3,3433,230000,1,1936,B / GOOD,GOOD,ATTACHED,,65675.0,44124,84,0.0,189050.0
71204012,5,1,1200,59400,0,1905,B / GOOD,FAIR,BASEMENT,No,90000.0,44124,115,0.0,0.0
71204014,3,2,2139,187700,1,1966,B / GOOD,GOOD,ATTACHED,No,10500.0,44124,54,316220.0,0.0
71204020,4,2,2272,194000,0,1973,B / GOOD,GOOD,ATTACHED,,11200.0,44124,47,0.0,0.0
71204022,3,2,1762,149000,0,1973,B / GOOD,GOOD,ATTACHED,No,15224.0,44124,47,155000.0,0.0
71204024,3,1,2268,190900,1,1969,B / GOOD,AVERAGE,ATTACHED,No,16340.0,44124,51,252649.99999999997,0.0
71204026,5,2,2759,260000,1,1992,B+ / GOOD+,GOOD,ATTACHED,,12772.0,44124,28,0.0,364722.0
71204028,4,2,3026,305200,1,1989,A / VERY-GOOD,GOOD,ATTACHED,,12788.0,44124,31,0.0,399350.0
71204030,4,2,2915,300600,1,1989,B+ / GOOD+,GOOD,ATTACHED,,14229.0,44124,31,463149.99999999994,377199.99999999994
71204032,4,1,2761,298300,2,1990,B+ / GOOD+,GOOD,ATTACHED,,13940.0,44124,30,0.0,0.0
71204034,4,2,3892,292800,1,1993,B+ / GOOD+,AVERAGE,ATTACHED,No,12420.0,44124,27,0.0,338200.0
71204036,4,2,3113,292000,1,1996,B+ / GOOD+,AVERAGE,ATTACHED,,18425.0,44124,24,389900.0,454272.0
71204038,4,2,4301,275000,1,1992,C / AVERAGE,AVERAGE,ATTACHED,No,13950.0,44124,28,278880.0,0.0
71204042,4,3,2667,238000,1,1996,B+ / GOOD+,AVERAGE,ATTACHED,,15943.0,44124,24,0.0,391500.0
71204044,4,2,3257,289400,1,1995,B / GOOD,AVERAGE,ATTACHED,,15943.0,44124,25,441620.0,0.0
71204046,4,2,2510,265000,1,1997,B / GOOD,GOOD,ATTACHED,No,23958.0,44124,23,0.0,375715.0
71205002,4,2,2456,240800,1,1969,B+ / GOOD+,GOOD,ATTACHED,No,19500.0,44124,51,254520.0,0.0
71205004,4,2,2592,204100,1,1970,B+ / GOOD+,GOOD,ATTACHED,No,11250.0,44124,50,0.0,295233.75
71205006,4,2,2134,195400,1,1967,B+ / GOOD+,GOOD,ATTACHED,No,12450.0,44124,53,325837.0,168315.0
71205008,4,2,2100,194200,1,1967,B+ / GOOD+,GOOD,ATTACHED,No,12450.0,44124,53,317850.0,0.0
71205010,4,2,2100,193800,1,1969,B+ / GOOD+,GOOD,ATTACHED,,12375.0,44124,51,201249.99999999997,0.0
71205012,4,2,2220,150000,0,1969,B+ / GOOD+,FAIR,ATTACHED,No,12300.0,44124,51,159000.0,0.0
71205014,3,1,2584,207600,1,1970,B+ / GOOD+,GOOD,ATTACHED,No,12300.0,44124,50,228660.0,148400.0
71205016,3,2,2584,196800,0,1969,B+ / GOOD+,GOOD,ATTACHED,No,12225.0,44124,51,0.0,0.0
