71202012,3,1,"1,233",124600,0,1950,C+ / AVERAGE+,5211 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"9,050",11/5/04,155000,12/27/00,119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202014,3,1,"1,238",115600,0,1941,B / GOOD,5219 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"9,100",8/29/13,117000,8/31/04,155000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202016,4,2,"1,230",114700,0,1949,C+ / AVERAGE+,5231 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"9,100",4/9/19,120000,4/28/99,117000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202018,2,1,946,104000,0,1950,C+ / AVERAGE+,5236 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",10/22/13,0,10/9/07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202020,4,2,"1,451",121700,1,1951,C+ / AVERAGE+,5228 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",9/26/18,0,9/24/18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202022,2,1,"1,288",114800,0,1941,C / AVERAGE,5216 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,N/A,"8,500",10/31/03,117900,1/1/75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202024,2,1,"1,077",99600,0,1945,C+ / AVERAGE+,5208 CASE AVE,"LYNDHURST, OH. 44124",FAIR,DETACHED,No,"8,500",7/10/87,56000,11/10/86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202026,3,1,"1,400",119400,1,1947,C / AVERAGE,5196 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",10/3/14,83000,6/9/09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202028,2,2,"1,465",121400,0,1950,C+ / AVERAGE+,5188 CASE AVE,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,"11,900",2/25/94,0,9/11/91,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202030,4,1,"1,404",109900,1,1956,C+ / AVERAGE+,5176 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"8,500",6/18/19,160200,6/16/17,109900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
