Parcel,Bedrooms,Bathrooms,Living_area,Total_Value,Half_Baths,Purchase_Date,Construction_Quality,Address1,Address2,Condition_Score,Garage_Type,Finished_Basement,Total_Land,First_Sale_Date,First_Sale_Price,Second_Sale_Date,Second_Sale_Price
71221040,4,1,1900,127400,1,1948,B / GOOD,1387 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,7500,6/22/1987,66500,3/25/1987,71300
71221041,5,2,1920,125900,0,1949,C+ / AVERAGE+,1391 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,6900,7/3/2008,0,2/29/1996,84000
71221042,3,1,1406,124100,0,1948,B / GOOD,1397 BRAINARD RD,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,6808,5/29/2008,124200,9/23/2003,122000
71221043,3,1,1418,113300,1,1948,C+ / AVERAGE+,1403 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,6486,5/15/1997,126000,7/29/1992,112900
71221044,3,1,1774,135500,1,1947,B / GOOD,1409 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,6192,9/23/2016,135500,3/29/1985,0
71221045,3,1,1466,125100,1,1961,B / GOOD,1413 BRAINARD RD,"LYNDHURST, OH. 44124",FAIR,DETACHED,No,6864,8/9/2018,100600,8/9/2018,0
71221046,3,1,1846,135100,1,1951,B / GOOD,1419 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9380,1/31/2014,115000,7/29/1996,131500
71221047,3,1,1298,114400,1,1950,B / GOOD,1427 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8030,9/13/2006,0,8/27/2003,165100
71221048,3,1,1080,106800,1,1954,B / GOOD,1433 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,7450,7/20/2009,0,7/17/2009,112000
71221049,3,1,1278,111600,1,1952,C / AVERAGE,1437 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,18003,11/5/2015,89900,3/25/2013,0
71221050,3,1,1307,113200,1,1953,B / GOOD,1441 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,16116,4/2/1985,0,4/19/1977,50500
71221051,3,1,1056,104900,1,1953,B / GOOD,1445 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,14200,7/16/2008,85000,5/29/2008,86667
71221052,3,1,1337,116600,1,1956,B / GOOD,1449 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,13158,8/9/2011,0,11/15/2004,0
71221053,3,1,1695,115600,1,1952,C / AVERAGE,1440 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,7700,4/4/2016,86000,2/17/2012,79100
71221054,3,1,1339,113800,1,1952,B / GOOD,1434 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9256,5/29/2008,120000,4/9/2004,134500
71221055,3,1,1218,115900,1,1953,B / GOOD,5606 DORSET RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,10584,10/28/2019,0,5/24/2019,147000
71221056,3,1,1200,112900,0,1952,B / GOOD,1404 BRAINARD RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,8370,10/19/2018,146000,10/11/2013,132500
71221057,3,1,1388,118100,0,1950,B / GOOD,1400 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8370,12/10/2009,0,12/26/2002,0
71221058,3,1,1697,125700,1,1948,B / GOOD,1396 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8532,10/2/2014,125000,12/16/1988,92500
71221059,3,1,1398,126500,0,1949,B / GOOD,1390 BRAINARD RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,N/A,10400,6/1/2018,179900,3/19/2007,172000
71221060,3,1,1087,108000,1,1947,B / GOOD,1384 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8000,12/30/2003,115000,11/16/1999,0
71221061,3,1,1176,111600,0,1948,C / AVERAGE,1378 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8000,6/8/1994,95000,8/30/1990,0
71221062,3,1,1182,85000,0,1948,C+ / AVERAGE+,1374 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8000,8/25/2016,85000,4/12/2016,0
71221063,3,1,1384,121600,0,1951,B / GOOD,1373 FORD RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,8000,4/30/2018,143900,10/3/2012,115000
71221064,3,1,1604,137500,1,1928,B / GOOD,1379 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,8000,12/9/2019,165000,6/19/2019,87000
71221065,3,1,1484,124600,1,1950,C+ / AVERAGE+,1383 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,N/A,8000,8/21/1991,107800,6/9/1988,0
71221066,4,1,1952,135000,1,1951,B / GOOD,1389 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,N/A,8000,5/26/2011,106000,5/26/2011,0
71221067,3,1,1378,121300,1,1951,B / GOOD,1393 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8100,4/8/2002,0,12/27/1982,0
71221068,3,1,1834,133200,1,1949,C+ / AVERAGE+,1399 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8300,7/16/2003,166000,4/16/1996,130000
71221069,2,1,1462,124800,0,1949,C+ / AVERAGE+,1403 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,N/A,8600,6/27/2019,167000,7/1/1999,100000
71221070,3,1,1476,124700,0,1949,B / GOOD,1409 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8850,9/11/2008,146000,1/24/2007,0
71221071,3,2,1390,124900,1,1949,B / GOOD,5567 DORSET RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,8910,5/30/2018,164700,9/14/2012,134000
71221072,3,1,1152,105000,0,1941,B / GOOD,5573 DORSET RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8000,5/3/1995,92500,10/2/1989,0
71221073,3,1,1196,115800,0,1950,B / GOOD,5579 DORSET RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,7800,2/19/2014,95000,2/5/2013,0
71221074,4,1,1664,126500,1,1950,C+ / AVERAGE+,5587 DORSET RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,7344,10/16/2019,139900,7/7/2015,130000
71221075,3,1,1488,122200,1,1949,B / GOOD,5589 DORSET RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,7440,12/9/1983,70000,8/14/1980,67500
71221076,3,1,1425,121500,1,1949,C+ / AVERAGE+,5593 DORSET RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,7632,12/7/1998,115000,1/1/1975,0
71221077,4,1,2336,160800,1,1946,B / GOOD,5605 DORSET RD,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,11914,6/27/1996,140000,5/13/1994,135000
71221078,3,1,1222,122100,1,1951,B / GOOD,5598 DORSET RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,10360,1/28/1999,0,4/10/1997,0
71221079,3,1,1825,130300,1,1952,B / GOOD,5594 DORSET RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,7849,12/21/2010,144900,4/3/1985,0
71221080,3,1,1272,118400,1,1949,B / GOOD,5590 DORSET RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8000,8/13/1999,122500,2/17/1998,0
71221081,3,1,1276,117900,1,1950,B / GOOD,5588 DORSET RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,7700,5/9/2018,133500,1/28/2004,148000
71221082,3,1,1506,123100,1,1949,B / GOOD,5580 DORSET RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,N/A,7450,9/18/1998,122000,7/31/1987,85500
71221083,3,1,1526,123000,1,1951,B / GOOD,5574 DORSET RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,N/A,7250,4/14/2009,143500,3/14/1996,123300
71221084,3,1,1498,129500,1,1949,C+ / AVERAGE+,5568 DORSET RD,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,N/A,8928,8/31/2017,170000,5/3/2010,77900
71221085,3,1,1488,128600,1,1952,B / GOOD,1384 CROYDEN RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8580,7/6/2006,0,1/1/1975,0
71222001,3,1,1176,104000,0,1950,B / GOOD,1369 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,8000,5/31/2019,139000,4/26/2016,104000
71222002,3,1,1560,124900,1,1928,B / GOOD,1363 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,8000,4/3/2019,139000,3/12/2008,0
71222003,4,1,1812,132300,1,1926,C / AVERAGE,1359 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,N/A,8000,10/1/1976,52000,1/1/1975,0
71222004,3,1,1680,129000,0,1949,B / GOOD,1353 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8000,6/15/2007,158000,4/20/2007,0
71222005,4,2,1798,130600,1,1928,B / GOOD,1349 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,8000,1/15/1998,145000,2/20/1990,0
71222006,3,1,1887,144900,1,1968,B / GOOD,1345 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,8000,5/14/2015,149900,7/16/2007,175500
71222007,3,1,1712,171000,1,1952,B / GOOD,1339 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,N/A,8000,5/25/2016,171000,8/15/2012,155000
71222008,4,1,1530,133200,1,1951,B / GOOD,1333 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9920,12/4/2014,160000,7/6/2009,172000
71222009,4,1,1456,142000,1,1950,B / GOOD,1323 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,N/A,8320,3/15/2016,142000,5/27/2009,0
71222010,3,2,1518,138100,1,1952,B / GOOD,1317 FORD RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,8000,12/8/2014,129500,11/18/1997,115000
71222011,3,1,1770,147300,1,1928,B+ / GOOD+,1311 FORD RD,"LYNDHURST, OH. 44124",GOOD,DETACHED,N/A,8000,4/13/2005,235000,11/25/1997,161500
71222013,3,1,2032,145700,0,1929,B+ / GOOD+,1303 FORD RD,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,8000,5/4/2018,237000,8/11/2017,95000
