39701058,4,2,"2,590","$201,400 ",1,1976,B+ / GOOD+,18203 FOXHOLLOW DR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"12,728",1/15/1993,"$143,000 ",10/30/1991,"$149,500 "
39701059,3,2,"1,716","$164,100 ",0,1975,B / GOOD,18212 MALLARD CIR,"STRONGSVILLE, OH. 44136",GOOD,ATTACHED,N/A,"12,720",5/27/1992,"$111,000 ",4/25/1989,$0 
39701060,4,2,"2,225","$194,700 ",1,1976,B+ / GOOD+,18247 FOXHOLLOW DR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"12,284",6/3/2016,"$222,000 ",12/1/2014,$0 
39701061,4,2,"2,286","$206,200 ",1,1975,B / GOOD,18256 MALLARD CIR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,N/A,"12,720",8/27/2014,"$210,000 ",10/16/2003,$0 
39701062,4,2,"2,411","$191,700 ",1,1976,B+ / GOOD+,18263 FOXHOLLOW DR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"11,715",4/3/1985,$0 ,11/12/1976,"$65,800 "
39701063,4,2,"2,146","$190,100 ",1,1975,B+ / GOOD+,18266 MALLARD CIR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,N/A,"4,960",5/2/2014,"$200,000 ",12/11/1979,"$90,000 "
39701064,4,2,"2,218","$184,300 ",1,1975,B / GOOD,18274 MALLARD CIR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"8,349",8/22/1991,"$135,000 ",8/26/1986,"$104,000 "
39701065,4,2,"2,046","$170,600 ",1,1975,B / GOOD,18271 FOX HOLLOW DR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,N/A,"13,490",1/9/2019,"$123,634 ",7/31/1984,"$83,800 "
39701066,4,2,"2,608","$182,200 ",1,1975,B+ / GOOD+,18279 FOX HOLLOW DR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,N/A,"14,000",4/1/1985,$0 ,11/4/1977,"$96,500 "
39701067,4,2,"2,449","$196,700 ",2,1975,B / GOOD,18288 MALLARD CIR,"STRONGSVILLE, OH. 44136",AVERAGE,ATTACHED,No,"16,000",2/27/2014,$0 ,3/30/1985,$0 
